1a3w	FBP	1,6-di-O-phosphono-beta-D-fructofuranose
1a4g	ZMR	ZANAMIVIR
1a4q	DPC	5-ACETYLAMINO-4-AMINO-6-(PHENETHYL-PROPYL-CARBAMOYL)-5,6-DIHYDRO-4H-PYRAN-2-CARBOXYLIC ACID
1a7c	RIP	beta-D-ribopyranose
1a9t	R1P	1-O-phosphono-alpha-D-ribofuranose
1abe	ARA	alpha-L-arabinopyranose
1abe	ARB	beta-L-arabinopyranose
1abf	FCA	alpha-D-fucopyranose
1abf	FCB	beta-D-fucopyranose
1apw	HSY	alpha-L-xylopyranose
1apw	MAN	alpha-D-mannopyranose
1azx	GU1	2,3-di-O-methyl-beta-D-glucopyranuronic acid
1azx	GU6	2,3,6-tri-O-sulfo-alpha-D-glucopyranose
1azx	Z9H	3,4-di-O-methyl-2,6-di-O-sulfo-alpha-D-glucopyranose
1azx	Z9K	3-O-methyl-2-O-sulfo-alpha-L-idopyranuronic acid
1azx	Z9L	methyl 2,3,6-tri-O-sulfo-alpha-D-glucopyranoside
1bg3	G6P	6-O-phosphono-alpha-D-glucopyranose
1bg9	AF1	4,6-dideoxy-4-{[(1S,4S,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-beta-D-glucopyranose
1bg9	DAF	4,6-dideoxy-4-{[(1S,5R,6S)-3-formyl-5,6-dihydroxy-4-oxocyclohex-2-en-1-yl]amino}-alpha-D-xylo-hex-5-enopyranose
1bwv	CAP	2-CARBOXYARABINITOL-1,5-DIPHOSPHATE
1byd	RR7	2-deoxy-beta-D-arabino-hexopyranose
1byj	GE1	2,6-diamino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose
1byj	GE3	3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranose
1c7r	PA5	5-PHOSPHOARABINONIC ACID
1cnq	F6P	6-O-phosphono-beta-D-fructofuranose
1cp8	DDA	beta-D-Olivopyranose
1cp8	DDL	2,6-dideoxy-beta-D-galactopyranose
1cp8	DRI	2,6-dideoxy-4-O-methyl-beta-D-glucopyranose
1cpu	AGL	4-amino-4,6-dideoxy-alpha-D-glucopyranose
1cvu	BOG	octyl beta-D-glucopyranoside
1dan	BGC	beta-D-glucopyranose
1dan	FUC	alpha-L-fucopyranose
1de5	RNT	L-RHAMNITOL
1dfq	SLB	N-acetyl-beta-neuraminic acid
1did	DIG	2,5-DIDEOXY-2,5-IMINO-D-GLUCITOL
1dot	NAG	2-acetamido-2-deoxy-beta-D-glucopyranose
1dqo	ASG	2-acetamido-2-deoxy-4-O-sulfo-beta-D-galactopyranose
1dva	FUL	beta-L-fucopyranose
