i	cleg	tr_type	tr_subtype	det	index	conj_class
1	1>a,a+b,a+c>1	k	eu	1.0	2	a
2	1>a,a+b,c>1	k	eu	1.0	2	b
3	1>a,b,a+c>1	k	eu	1.0	2	c
4	1>a,b,b+c>1	k	eu	1.0	2	d
5	1>a,b,c>1	k	eu	1.0	2	e
6	1>a,b,c>1	k	eu	1.0	2	f
7	1>a,b,c>1	k	eu	1.0	2	g
8	1>a,a+b,c>1	k	eu	1.0	3	a
9	1>a,a+b,c>1	k	eu	1.0	3	b
10	1>a,b,c>1	k	eu	1.0	3	c
11	1>a,b,c>1	k	eu	1.0	3	d
12	1>a,b,b+c>1	k	eu	1.0	3	e
13	1>a,b,b+c>1	k	eu	1.0	3	f
14	1>a,b,c>1	k	eu	1.0	3	g
15	1>a,a+b,a+c>1	k	eu	1.0	3	h
16	1>a,a+b,a+c>1	k	eu	1.0	3	i
17	1>a,a+b,a+c>1	k	eu	1.0	3	j
18	1>a,a+b,a+c>1	k	eu	1.0	3	k
19	1>a,b,a+c>1	k	eu	1.0	3	l
20	1>a,b,a+c>1	k	eu	1.0	3	m
21	2>a,b,c>1	t		1.0	2	a
22	2>a,b,a+c;1/2,0,0>2	k	eu	1.0	2	a
23	2>a,b,a+c>2	k	eu	1.0	2	b
24	2>a,b,b+c;0,1/2,0>2	k	eu	1.0	2	c
25	2>a,b,b+c>2	k	eu	1.0	2	d
26	2>a,b,c;0,0,1/2>2	k	eu	1.0	2	e
27	2>a,b,c>2	k	eu	1.0	2	f
28	2>a,b,c;0,1/2,0>2	k	eu	1.0	2	g
29	2>a,b,c>2	k	eu	1.0	2	h
30	2>a,a+b,a+c;1/2,0,0>2	k	eu	1.0	2	i
31	2>a,a+b,a+c>2	k	eu	1.0	2	j
32	2>a,a+b,c;1/2,0,0>2	k	eu	1.0	2	k
33	2>a,a+b,c>2	k	eu	1.0	2	l
34	2>a,b,c;1/2,0,0>2	k	eu	1.0	2	m
35	2>a,b,c>2	k	eu	1.0	2	n
36	2>a,b,c>2	k	eu	1.0	3	a
37	2>a,b,c;0,0,1>2	k	eu	1.0	3	a
38	2>a,b,c;0,0,2>2	k	eu	1.0	3	a
39	2>a,b,b+c>2	k	eu	1.0	3	b
40	2>a,b,b+c;0,1,0>2	k	eu	1.0	3	b
41	2>a,b,b+c;0,2,0>2	k	eu	1.0	3	b
42	2>a,b,b+c>2	k	eu	1.0	3	c
43	2>a,b,b+c;0,1,0>2	k	eu	1.0	3	c
