sg	set	trm	hm	xyz
1	1	a,b,c	P 1	x,y,z
2	1	a,b,c	P -1	x,y,z;-x,-y,-z
3	1	a,b,c	P 1 2 1	x,y,z;-x,y,-z
3	2	c,a,b	P 1 1 2	x,y,z;-x,-y,z
3	3	b,c,a	P 2 1 1	x,y,z;x,-y,-z
4	1	a,b,c	P 1 21 1	x,y,z;-x,y+1/2,-z
4	2	c,a,b	P 1 1 21	x,y,z;-x,-y,z+1/2
4	3	b,c,a	P 21 1 1	x,y,z;x+1/2,-y,-z
5	1	a,b,c	C 1 2 1	x,y,z;-x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z
5	2	-a-c,b,a	A 1 2 1	x,y,z;-x,y,-z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2
5	3	c,b,-a-c	I 1 2 1	x,y,z;-x,y,-z;x-1/2,y+1/2,z-1/2;-x-1/2,y+1/2,-z-1/2
5	4	c,a,b	A 1 1 2	x,y,z;-x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2
5	5	a,-a-c,b	B 1 1 2	x,y,z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2
5	6	-a-c,c,b	I 1 1 2	x,y,z;-x,-y,z;x-1/2,y-1/2,z+1/2;-x-1/2,-y-1/2,z+1/2
5	7	b,c,a	B 2 1 1	x,y,z;x,-y,-z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2
5	8	b,a,-a-c	C 2 1 1	x,y,z;x,-y,-z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z
5	9	b,-a-c,c	I 2 1 1	x,y,z;x,-y,-z;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z-1/2
6	1	a,b,c	P 1 m 1	x,y,z;x,-y,z
6	2	c,a,b	P 1 1 m	x,y,z;x,y,-z
6	3	b,c,a	P m 1 1	x,y,z;-x,y,z
7	1	a,b,c	P 1 c 1	x,y,z;x,-y,z+1/2
7	2	-a-c,b,a	P 1 n 1	x,y,z;x-1/2,-y,z-1/2
7	3	c,b,-a-c	P 1 a 1	x,y,z;x+1/2,-y,z
